id,Name_Eng,Name_Tel,Arohana_Swaras,Avarohana_Swaras,Arohana_Order,Avarohana_Order,category,melam_num,janaka_melam,janaka,chakra,alternates,one_swara_diff,src,is_vakra
14,garvamanjari,గర్వమంజరి,"['s', 'g2', 'm2', 'p', 'd2', 's.']","['s.', 'n3', 'd2', 'm2', 'g2', 'r2', 's']",S|G2|M2|P|D2|S',S'|N3|D2|M2|G2|R2|S,ఔడవ-షాడవ,,59,ధర్మవతి,,[],"['యోగజ్యోతి', 'యౌతకం', 'యశోమని', 'యక్షప్రియ', 'యాగజ్యోతి']",Raga pravaha by Dhandapani MN & D pattammal,0
15,shrngaramurti,శృంగారమూర్తి,"['s', 'r2', 'g3', 'm2', 'p', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm2', 'g3', 'r2', 's']",S|R2|G3|M2|P|N3|S',S'|N3|D2|P|M2|G3|R2|S,షాడవ-సంపూర్ణ,,65,మేచకళ్యాణి,,[],"['షహానా', 'యమునకళ్యాణి', 'యమునా', 'యమన్', 'వర్షమతి']",Raga pravaha by Dhandapani MN & D pattammal,0
16,kankanalankari,కంకణాలంకరి,"['s', 'g3', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm2', 'g3', 'r1', 's']",S|G3|P|D2|N2|S',S'|N2|D2|P|M2|G3|R1|S,ఔడవ-సంపూర్ణ,,52,రామప్రియ,,[],"['విసిఅంబరీ', 'విశ్వనారాయణి', 'వీరమేఘం', 'విరాదం', 'వినదరి']",Raga pravaha by Dhandapani MN & D pattammal,0
18,ramamanjari,రామమంజరి,"['s', 'r2', 'm1', 'p', 'n2', 's.']","['s.', 'd2', 'n2', 'p', 'm1', 'g2', 'm1', 'r2', 's']",S|R2|M1|P|N2|S',S'|D2|N2|P|M1|G2|M1|R2|S,ఔడవ-సంపూర్ణ,,22,ఖరహరప్రియ,,[],"['యువరాత్నికం', 'యువరత్న', ' యోగవతీ', 'యోగబోధిని', 'యోగబోధన']",Raga pravaha by Dhandapani MN & D pattammal,2
19,rukma sandini,రుక్మసంధిని,"['s', 'r2', 'g3', 'r2', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'd2', 'p', 'm1', 'g3', 'r2', 's']",S|R2|G3|R2|M1|P|D2|N3|S',S'|D2|P|M1|G3|R2|S,సంపూర్ణ-షాడవ,,29,ధీరశంకరాభరణం,,[],"['యువరాత్నికం', 'యువరత్న', 'యోగసురభి', 'యోగసౌరభం', 'యోగజ్యోతి']",Ragapravaham by Dhandapani MN& D Pattammal,1
20,hiranya lalita,హిరణ్యలలిత,"['s', 'r1', 'g2', 'r1', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|R1|M1|P|D1|N2|S',S'|D1|P|M1|G2|R1|S,సంపూర్ణ-షాడవ,,8,హనుమతోడి,,[],"[' యోగవతీ', 'యోగగిరి', 'యోగబోధిని', 'యోగబోధన', 'యోగభైరవి']",Ragapravaham by Dhandapani MN& D Pattammal,1
22,amudha valli,అముదవల్లి,"['s', 'g2', 'm1', 'd2', 's.']","['s.', 'n2', 'p', 'm1', 'r1', 's']",S|G2|M1|D2|S',S'|N2|P|M1|R1|S,స్వరాంతర-ఔడవ,,10,నాటకప్రియ,,[],"['విశ్వనారాయణి', 'విరవిక్రమ', 'వీరవరాలి', 'విరాదం', 'విపులనంద']",Ragapravaham by Dhandapani MN& D Pattammal,0
23,chamarakriya,చామర క్రియ,"['s', 'r1', 'g3', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'r1', 's']",S|R1|G3|D1|N3|S',S'|N3|D1|P|R1|S,ఔడవ,,15,మాయామాళవగౌళ రాగము,,[],"['యుధిష్ఠిర', 'యోగలీల', 'వురుగమంజరి', 'వియోరంజని', 'విరసంకాశిని']",Ragapravaham by Dhandapani MN& D Pattammal,0
24,sahuli,సహులి,"['s', 'g3', 'm1', 'p', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g3', 'r1', 's']",S|G3|M1|P|N3|S',S'|N3|D2|P|M1|G3|R1|S,ఔడవ-సంపూర్ణ,,17,సూర్యకాంతం,,[],"['షహానా', 'యుధిష్ఠిర', 'యోగసురభి', 'యోగసౌరభం', 'యోగలీల']",Ragapravaham by Dhandapani MN& D Pattammal,0
25,kitimayura,కిటిమయూర,"['s', 'g2', 'r2', 'g2', 'm1', 'n2', 'd2', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'g2', 'r2', 's']",S|G2|R2|G2|M1|N2|D2|N2|S',S'|N2|P|M1|G2|R2|S,షాడవ,,22,ఖరహరప్రియ,,"['బుధమయూర', 'పుతమయూరం']","['యువరాత్నికం', 'యువరత్న', ' యోగవతీ', 'యోగబోధిని', 'యోగబోధన']",Ragapravaham by Dhandapani MN& D Pattammal,1
26,sarasuvati,సరసువతి,"['s', 'r2', 'm2', 'p', 'd2', 's.']","['s.', 'n2', 'd2', 'p', 'm2', 'r2', 's']",S|R2|M2|P|D2|S',S'|N2|D2|M2|G3|R2|S,ఔడవ-షాడవ,,64,వాచస్పతి,,[],"['యశోమని', 'యమునకళ్యాణి', 'యక్షప్రియ', 'యాగిని', 'వర్షమతి']",Ragapravaham by Dhandapani MN& D Pattammal,0
27,bilaval,బిలావల్,"['s', 'g3', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g3', 's']",S|G3|M1|P|D2|N3|S',S'|N3|D2|P|M1|G3|S,షాడవ,,28,హరికాంభోజి,,[],"['యువరాత్నికం', 'యువరత్న', 'యోగసురభి', 'యోగసౌరభం', 'యదుకులకాంభోజి']",Ragapravaham by Dhandapani MN& D Pattammal,0
28,shribindumalini,శ్రీ బిందుమాలిని,"['s', 'r1', 'g3', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'g3', 'r1', 's']",S|R1|G3|M1|P|N2|S',S'|N2|D2|P|G3|R1|S,షాడవ,,16,చక్రవాకం,,[],"['యువరాత్నికం', 'యువరత్న', ' యోగవతీ', 'యోగనంది', 'యోగబోధిని']",Ragapravaham by Dhandapani MN& D Pattammal,0
30,ratipatipriya,రతిపతిప్రియ,"['s', 'r2', 'g2', 'p', 'n2', 's.']","['s.', 'n2', 'p', 'g2', 'r2', 's']",S|R2|G2|P|N2|S',S'|N2|P|G2|R2|S,ఔడవ,,20,నరభైరవి,,[],"['యాగిని', ' వినవాడిని', 'వెలవం', 'వసుగర్భ', 'వాడివజగి']",Ragapravaham by Dhandapani MN& D Pattammal,0
32,bhadravahini,భద్రవాహిని,"['s', 'r3', 'm2', 'p', 'd1', 'n2', 's.']","['s.', 'p', 'm2', 'g3', 'r3', 's']",S|R3|M2|P|D1|N2|S',S'|P|M2|G3|R3|S,షాడవ-ఔడవ,,68,జ్యోతిస్వరూపిణి,,['బుద్ధవాహిని'],"['యతక్సి', 'విష్ణుప్రియ', 'వీరమేఘం', 'విన్నవాదాధిపతి', 'వినమృతం']",Ragapravaham by Dhandapani MN& D Pattammal,0
33,hemakharaharapriya,హేమఖరహరహరప్రియ,"['s', 'r2', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'r2', 's']",S|R2|M1|P|N2|S',S'|N2|P|M1|R2|S,ఔడవ,,22,ఖరహరప్రియ,,[],"['రతిపతిప్రియ', 'యాగిని', 'విప్రమతి', ' వినవాడిని', 'విలాసవతి']",Ragapravaham by Dhandapani MN& D Pattammal,0
34,madhuralapa,మధురలప,"['s', 'r2', 'g3', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'g3', 'r2', 's']",S|R2|G3|D2|N3|S',S'|N3|D2|G3|R2|S,ఔడవ,,28,హరికాంభోజి,,[],"[' వినవాడిని', 'విడట', 'వరవర్ణని', 'వరలీల', 'వలజి']",Ragapravaham by Dhandapani MN& D Pattammal,0
35,karatoya,కరతోయ,"['s', 'r1', 'g2', 'm1', 'p', 'n1', 's.']","['s.', 'n1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|N1|S',S'|N1|P|M1|G2|R1|S,షాడవ,,7,సేనావతి,,[],"['యోగగిరి', 'వీరవరాలి', 'విపులనంద', 'విజయభుసావలి', 'వసంతశ్రీమణి']",Ragapravaham by Dhandapani MN& D Pattammal,0
