id,Name_Eng,Name_Tel,Arohana_Swaras,Avarohana_Swaras,Arohana_Order,Avarohana_Order,category,melam_num,janaka_melam,janaka,chakra,alternates,one_swara_diff,src,is_vakra
197,abhimanini,అభిమానిని,"['s', 'r1', 'g1', 'm1', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'm1', 'g1', 'r1', 's']",S|R1|G1|M1|D2|N3|S',S'|N3|D2|M1|G1|R1|S,షాడవ,,5,మానవతి,,[],"['శుద్దహలలిత', 'కుంజరి', 'వసంత', 'వనజంబరి', 'తూణీరధారిణి']",Raga pravaha by Dhandapani MN & D pattammal,0
200,punnaga thodi,పున్నాగతోడి,"['n2', 'd1', 's', 'r1', 'g2', 'm1', 'p', 'd1', 'n2']","['d1', 'p', 'm1', 'g2', 'r1', 's', 'n2', 'd1', 'n2']",N2|D1|N2|S|R1|G2|M1|P|D1|N2,D1|P|M1|G2|R1|S|N2|S,సంపూర్ణ,,8,హనుమతోడి,,[],"['వీరవరాలి', 'విపులనంద', 'వసంతశ్రీమణి', 'వసంతలీలావతి', 'వసంతకన్నడ']",Raga pravaha by Dhandapani MN & D pattammal,1
204,senagrani,సేనాగ్రణి,"['s', 'r1', 'g2', 'r1', 'm1', 'g2', 'm1', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|R1|M1|G2|M1|D1|N1|S',S'|N1|D1|P|M1|G2|R1|S,షాడవ-సంపూర్ణ,,7,సేనవతి,,[],"['యోగగిరి', 'వీరవరాలి', 'విపులనంద', 'విజయభుసావలి', 'వసంతశ్రీమణి']",Raga pravaha by Dhandapani MN & D pattammal,1
207,bhindhu herali,బిందుహెరాలి,"['s', 'r1', 'g3', 'r1', 'g3', 'm1', 'p', 'd1', 'n3', 'd1', 'm1', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g3', 'r1', 's']",S|R1|G3|R1|G3|M1|P|D1|N3|D1|M1|P|D1|N3|S',S'|N3|D1|P|M1|G3|R1|S,సంపూర్ణ,,15,మాయామాళవగౌళ రాగము,,[],"['గుర్జరి', 'యోగగిరి', 'వ్యాజకురింజి', 'విత్తనాశంకి', 'విరజంతకా']",,1
224,latantapriya,లతాంతాప్రియ,"['s', 'r1', 'm1', 'p', 'd1', 's.']","['s.', 'd1', 'p', 'm1', 'r1', 's']",S|R1|M1|P|D1|S',S'|D1|P|M1|R1|S,ఔడవ,,1,కనకాంగి,,[],"['గుర్జరి', 'విత్తలప్రియ', 'విశారద', 'విదశోక', ' విభవరి']",,0
244,sudha kambhoji,సుధాకాంభోజి,"['s', 'g3', 'r1', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'g3', 'r1', 's']",S|G3|R1|M1|P|N2|S',S'|N2|P|M1|G3|R1|S,షాడవ,,14,వకుళాభరణం,,[],"['నాగకురింజి', 'గుర్జరి', 'విశ్వనారాయణి', 'విరాళ', 'విరాదం']",,1
245,senapati,సేనాపతి,"['s', 'r1', 'g2', 'm1', 'p', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|N1|S',S'|N1|D1|P|D1|M1|G2|R1|S,షాడవ-సంపూర్ణ,,7,సేనావతి,,[],"['యోగగిరి', 'వీరవరాలి', 'విపులనంద', 'విజయభుసావలి', 'వసంతశ్రీమణి']",,2
253,dhatuvardhani,ధాతువర్ధని,"['s', 'r3', 'g3', 'm2', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm2', 'g3', 'r3', 's']",S|R3|G3|M2|P|D1|N3|S',S'|N3|D1|P|M2|G3|R3|S,సంపూర్ణ,69,,,ఆదిత్య,[],"['యజ్హిషాయిరాసు', 'విత్తనాశంకి', 'వీరరాణి', 'విరన్', 'విరజంతకా']",,0
254,kashyapi,కాశ్యపి,"['s', 'r1', 'g2', 'p', 'd1', 'n2', 's.']","['s.', 'd1', 'p', 'm1', 'g2', 's']",S|R1|G2|P|D1|N2|S',S'|N2|D1|P|G2|R1|S,షాడవ,,8,హనుమతోడి,,[],"[' యోగవతీ', 'యోగగిరి', 'యోగబోధిని', 'యోగబోధన', 'యోగభైరవి']",,0
291,vatsa,వత్స,"['g3', 'm2', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm2', 's']",G3|M2|P|D2|N2|S',S'|N2|D2|P|M2|S,షాడవ-ఔడవ,,64,వాచస్పతి,,[],"['సారంగ', 'నాగకురింజి', 'ప్రతాపము', 'అమృతబేహాగ్', 'యోగనంది']",,0
341,bherikarnika,భేరికర్ణిక,"['s', 'r1', 'm1', 'd1', 'n3', 'd1', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g1', 'r1', 's']",S|R1|M1|P|D1|N3|D1|S',S'|N3|D1|P|M1|G1|R1|S,షాడవ-సంపూర్ణ,,3,గానమూర్తి,,[],"['పరజు', 'స్మోకంబరి', 'కుంజరి', 'యుధిష్ఠిర', 'యోగలీల']",,1
344,chamundi,చాముండి,"['s', 'g3', 'r2', 'm2', 'p', 'n3', 'd1', 's.']","['s.', 'd1', 'n3', 'p', 'm2', 'g3', 'r2', 's']",S|G3|R2|M2|P|N3|D1|S',S'|D1|N3|P|M2|G3|R2|S,సంపూర్ణ,,63,లతాంగి,,[],"['ధాతువర్ధని', 'యోగజ్యోతి', 'యౌతకం', 'యతక్సి', 'యాగజ్యోతి']",,3
358,kaumari,కౌమారీ,"['s', 'r1', 'g2', 'm1', 'p', 'd2', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|D2|S',S'|N3|D2|P|M1|G2|R1|S,షాడవ-సంపూర్ణ,,11,కోకిలప్రియ,,[],"['మల్హర్', 'కుంజరి', ' యోగవతీ', 'యోగగిరి', 'యోగబోధిని']",,0
367,jyotiswarupini,జ్యోతిస్వరూపిణి,"['s', 'r3', 'g3', 'm2', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm2', 'g3', 'r3', 's']",S|R3|G3|M2|P|D1|N2|S',S'|N2|D1|P|M2|G3|R3|S,సంపూర్ణ,68,,,ఆదిత్య,[],"['ధాతువర్ధని', 'యతక్సి', 'విష్ణుప్రియ', 'వీరమేఘం', 'విన్నవాదాధిపతి']",,0
385,naga sugandi,నాగసుగంధి,"['s', 'r1', 'm1', 'p', 'n2', 'd2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 'r1', 's']",S|R1|M1|P|N2|D2|S',S'|N2|D2|P|M1|G2|R1|S,షాడవ-సంపూర్ణ,,10,నాటకప్రియ,,['రాగసుగంధి'],"['తోడీ', 'కోకిలప్రియ', 'రుద్రప్రియా', 'నాదవరాంగిని', 'విశ్వనారాయణి']",,1
393,hindolam,హిందోళం,"['s', 'g2', 'm1', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'g2', 's']",S|G2|M1|D1|N2|S',S'|N2|D1|M1|G2|S,ఔడవ,,8,హనుమతోడి,,[],"['యజ్హ్వల్లోన్', 'విదశోక', 'వరాంగి', 'ఉదయారవి', 'తిరుచ్చనందన్']",,0
418,vijayanarayani,విజయనారాయణి,"['s', 'r2', 'g2', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'd2', 'p', 'm1', 'g2', 'r2', 's']",S|R2|G2|M1|P|D2|N3|S',S'|D2|P|M1|G2|R2|S,సంపూర్ణ-షాడవ,,23,గౌరిమనోహరి,,['విసయనారాయణి'],"['షహానా', 'కరవని', 'కోకిలప్రియ', 'ఫలమంజరి', 'రుద్రప్రియా']",,0
446,pavani,పావని,"['s', 'r1', 'g1', 'm2', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm2', 'g1', 'r1', 's']",S|R1|G1|M2|P|D2|N3|S',S'|N3|D2|P|M2|G1|R1|S,సంపూర్ణ,41,,,ఋషి,[],"['వరాలి', 'కుంజరి', 'వ్యఘ్రమంజరి', 'వృషభవాహిని', 'విసిఅంబరీ']",,0
463,gauri manohari,గౌరీమనోహరి,"['s', 'r2', 'g2', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g2', 'r2', 's']",S|R2|G2|M1|P|D2|N3|S',S'|N3|D2|P|M1|G2|R2|S,సంపూర్ణ,23,,,వేద,[],"['షహానా', 'కరవని', 'కోకిలప్రియ', 'ఫలమంజరి', 'రుద్రప్రియా']",,0
472,pujabauli,పుజాబౌలి,"['s', 'g3', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g3', 'r1', 's']",S|G3|M1|P|D1|N1|S',S'|N1|D1|P|M1|G3|R1|S,షాడవ-సంపూర్ణ,,13,గాయకప్రియ,,[],"['ఆనంద', 'పరజు', 'మాలావశ్రీ', 'కళావతి', 'గుర్జరి']",,0
484,bhujangi,భుజింగి,"['s', 'r1', 'g1', 'm1', 'n3', 's.']","['s.', 'n3', 'm1', 'g1', 'r1', 's']",S|R1|G1|M1|N3|S',S'|N3|M1|G1|R1|S,ఔడవ,,3,గానమూర్తి,,[],"['విశారద', 'విఫణి', 'వరవర్ణిని', 'వనజంబరి', 'తూణీరధారిణి']",,0
534,kharaharapriya,ఖరహరప్రియ,"['s', 'r2', 'g2', 'm1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 'r2', 's']",S|R2|G2|M1|P|D2|N2|S',S'|N2|D2|P|M1|G2|R2|S,సంపూర్ణ,22,,,వేద,[],"['గౌరీమనోహరి', 'బృందావని', 'సుపోసిని', 'మల్హర్', 'యువరాత్నికం']",,0
541,nadamukhari,నాదముఖారి,"['s', 'r1', 'g2', 'm1', 'p', 'd2', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|S',S'|N3|D2|P|M1|G2|R1,,,11,కోకిలప్రియ,,['నాదముఖరి'],"['గౌరీమనోహరి', 'మల్హర్', 'కుంజరి', ' యోగవతీ', 'యోగగిరి']",,0
550,marala gamini,మరాళగామిని,"['s', 'r1', 'g2', 'm1', 'n3', 's.']","['s.', 'n3', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|N3|S',S'|N3|M1|G2|R1|S,ఔడవ,,9,ధేనుక,,[],"['శ్యామలి', 'విశారద', 'వత్స', 'వసంతతోడి', 'వనజంబరి']",,0
566,mararanjani,మారరంజని,"['s', 'r2', 'g3', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm1', 'g3', 'r2', 's']",S|R2|G3|M1|P|D1|N1|S',S'|N1|D1|P|M1|G3|R2|S,సంపూర్ణ,25,,,బాణ,[],"['కల్గడ', 'మాలావశ్రీ', 'కళావతి', 'యుద్ధప్రవర్తినీ', 'యోగప్రియ']",,0
594,vasantha leelavati,వసంతలీలావతి,"['s', 'r1', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'g2', 'r1', 's']",S|R1|M1|P|N2|S',S'|N2|D1|M1|G2|R1|S,ఔడవ-షాడవ,,8,హనుమతోడి,,[],"['ఆనంద', ' యోగవతీ', 'యోగగిరి', 'యోగబోధిని', 'యోగబోధన']",,0
601,rasavarali,రసవరాళి,"['s', 'r1', 'g1', 'm1', 'p', 'd2', 'n3', 'd2', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g1', 'r1', 's']",S|R1|G1|M1|P|D2|N3|D2|S',S'|N3|D2|P|M1|G1|R1|S,సంపూర్ణ,,5,మానవతి,,[],"['కోకిలప్రియ', 'పావని', 'యద్దేవిక', 'వ్యాజకురింజి', 'విరవిక్రమ']",Raga pravaha by Dhandapani MN & D pattammal,1
615,bhanu chandrika,భానుచంద్రిక,"['s', 'm1', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'g2', 's']",S|M1|D1|N2|S',S'|N2|D1|M1|G2|S,స్వరాంతర-ఔడవ,,8,హనుమతోడి,,[],"['యజ్హ్వల్లోన్', 'విదశోక', 'వరాంగి', 'ఉదయారవి', 'తిరుచ్చనందన్']",Raga pravaha by Dhandapani MN & D pattammal,0
621,naganandhini,నాగానందిని,"['s', 'r2', 'g3', 'm1', 'p', 'd3', 'n3', 's.']","['s.', 'n3', 'd3', 'p', 'm1', 'g3', 'r2', 's']",S|R2|G3|M1|P|D3|N3|S',S'|N3|D3|P|M1|G3|R2|S,సంపూర్ణ,30,,,బాణ,[],"['షహానా', 'ఫలమంజరి', 'పుర్వగౌల', 'మహూరి', 'యౌచన']",Raga pravaha by Dhandapani MN & D pattammal,0
623,chaitaka ranjani,చైతకరంజని,"['s', 'g3', 'm1', 'p', 'd1', 's.']","['s.', 'n2', 'd1', 'm1', 'g3', 'r1', 's']",S|G3|M1|P|D1|S',S'|N2|D1|M1|G3|R1|S,ఔడవ-షాడవ,,14,వకుళాభరణం,,['సైకతరంజని'],"['తోడీ', 'నలత్తం', 'పరజు', 'కల్గడ', 'గుర్జరి']",Raga pravaha by Dhandapani MN & D pattammal,0
624,kanthamani,కాంతామణి,"['s', 'r2', 'g3', 'm2', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm2', 'g3', 'r2', 's']",S|R2|G3|M2|P|D1|N1|S',S'|N1|D1|P|M2|G3|R2|S,సంపూర్ణ,61,,,రుద్ర,[],"['మారరంజని', 'యుద్ధప్రవర్తినీ', 'యతక్సి', 'విరతి', 'విరన్']",,0
637,varunapriya,వరుణప్రియ,"['s', 'r2', 'g2', 'm1', 'p', 'd3', 'n3', 's.']","['s.', 'n3', 'd3', 'p', 'm1', 'g2', 'r2', 's']",S|R2|G2|M1|P|D3|N3|S',S'|N3|D3|P|M1|G2|R2|S,సంపూర్ణ,24,,,వేద,[],"['గౌరీమనోహరి', 'నాగానందిని', 'నాగభాషిని', 'మల్హర్', 'వీరవసంతం']",,0
644,sindhubhairavi,సింధుభైరవి,"['m1', 'p', 'd2', 'n2', 's', 'r1', 'g2', 'm1']","['g2', 'r1', 's', 'n2', 'd2', 'p', 'm1', 'g2']",M1|P|D2|N2|S|R1|G2|M1,G2|R1|S|N2|D2|P|M1|G2,సంపూర్ణ,,10,నాటకప్రియ,,[],"[' యోగవతీ', 'యోగబోధిని', 'యోగబోధన', 'వనలి', 'తిరుమంబుయాన్']",,3
657,yoga bhodhini,యోగబోధిని,"['s', 'r1', 'g2', 'm1', 'd2', 'n2', 's.']","['s.', 'd2', 'p', 'm1', 'r1', 'g2', 'r1', 's']",S|R1|G2|M1|D2|N2|S',S'|P|M1|G2|R1|S,షాడవ-ఔడవ,,10,నాటకప్రియ,,['యోగమతి'],"['తోడీ', 'ఖరహరప్రియ', 'సింధుభైరవి', 'కోకిలప్రియ', 'బాగేశ్రీ']",,0
660,nanbhan,నన్బన్,"['s', 'g2', 'm1', 'p', 'd2', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'r1', 's']",S|G2|M1|P|D2|S',S'|N3|D2|P|M1|R1|S,ఔడవ-షాడవ,,11,కోకిలప్రియ,,[],"['గౌరీమనోహరి', 'మల్హర్', 'కుంజరి', ' యోగవతీ', 'యోగగిరి']",,0
669,kalakanthi,కళాకాంతి,"['s', 'r1', 'm1', 'p', 'n1', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'm1', 'g3', 'r1', 's']",S|R1|M1|P|N1|D1|N1|S',S'|N1|D1|P|G3|R1|S,షాడవ,,13,గాయకప్రియ,,[],"['ఆనంద', 'పరజు', 'మారరంజని', 'మాలావశ్రీ', 'కళావతి']",,1
716,sukhavani,సుఖవాణి,"['s', 'r1', 'g3', 'p', 'n1', 's.']","['s.', 'n1', 'p', 'g3', 'r1', 's']",S|R1|G3|P|N1|S',S'|N1|P|G3|R1|S,ఔడవ,,13,గాయకప్రియ,,[' సుఖపాణి'],"['రసికరంజని', 'యాక్సప్రియ', 'వ్రాజినాహరిని', 'వర్ణరూపిణి', 'వామలోచన']",,0
722,mahati,మహతి,"['s', 'p', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'p', 'g2', 'r2', 's']",S|P|P|D1|N2|S',S'|N2|P|G2|R2|S,స్వరాంతర-ఔడవ,,20,నరభైరవి,,[],"['బృందావని', 'భూపాల', 'గోపికాతిలకం', 'రాతిపతిప్రియ', 'యోగభైరవి']",,0
723,manavali,మానవాళి,"['s', 'g2', 'm1', 'n2', 'd1', 'n2', 's.']","['s.', 'd1', 'p', 'm1', 'g2', 'r2', 's', 'n2', 'd1', 'n2']",S|G2|M1|N2|D1|N2|S',S'|D1|P|M1|G2|R2|S|N2|D1|N2|S,ఔడవ-సంపూర్ణ,,20,నరభైరవి,,[],"['తోడీ', 'ఖరహరప్రియ', 'బాగేశ్రీ', 'బృందావని', 'రుద్రప్రియా']",,2
729,pilu,పిలు,"['n3', 's', 'g2', 'm1', 'p','d1','n2','s.']","['s.','n3','d1','p', 'm1', 'g2', 'r2', 's', 'n3']",N3|S|G2|M1|P|N2|D1|P|S,S'|N3|D1|P|M1|G2|R2|S|N3|S,షాడవ-సంపూర్ణ,,21,కీరవాణి,,[],"['వాడివజగి', 'సోమగిరి', 'ష్రోతస్వినీ', 'శిబికా', 'రిసిప్రియ']",,1
737,pahadi,పహాడి,"['s', 'r1', 'm1', 'p', 'n3', 's.']","['s.', 'n3', 'p', 'd1', 'p', 'm1', 'r1', 's']",S|R1|M1|P|N3|S',S'|N3|P|D1|P|M1|R1|S,ఔడవ-షాడవ,,15,మాయామాళవగౌళ రాగము,,['పాడి'],"['పరజు', 'గుర్జరి', 'స్మోకంబరి', 'కన్నడబంగళా', 'యుధిష్ఠిర']",,2
740,phenadyuti,ఫేనాద్యుతి,"['s', 'r1', 'm1', 'p', 'd1', 'p', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g1', 'r1', 's']",S|R1|M1|P|D1|P|N2|S',S'|N2|D1|P|M1|G1|R1|S,షాడవ-సంపూర్ణ,,2,రత్నాంగి,,[],"['తోడీ', 'ఆనంద', 'విరవిక్రమ', 'వీరవరాలి', 'విరాళ']",,1
741,divyamani,దివ్యమణి,"['s', 'r1', 'g2', 'm2', 'p', 'd3', 'n3', 's.']","['s.', 'n3', 'd3', 'p', 'm2', 'g2', 'r1', 's']",S|R1|G2|M2|P|D3|N3|S',S'|N3|D3|P|M2|G2|R1|S,సంపూర్ణ,48,,,వసు,[],"['వంశావతి', 'వ్యఘ్రమంజరి', 'వృషభవాహిని', 'విశ్వంబరి', 'విశ్వంబరి']",,0
746,abheri,అభేరి,"['s', 'm1', 'g2', 'm1', 'p', 'p', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 'r2', 's']",S|M1|G2|M1|P|P|S',S'|N2|D1|P|M1|G2|R2|S,స్వరాంతర-సంపూర్ణ,,20,నరభైరవి,,[],"['తోడీ', 'ఖరహరప్రియ', 'బాగేశ్రీ', 'హిందోళవసంత', 'బృందావని']",,1
779,dheerasankarabharanam,ధీరశంకరాభరణం,"['s', 'r2', 'g3', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g3', 'r2', 's']",S|R2|G3|M1|P|D2|N3|S',S'|N3|D2|P|M1|G3|R2|S,సంపూర్ణ,29,,,బాణ,"[' పజమ్పంజరం', 'శంకరాభరణం']","['గౌరీమనోహరి', 'నాగానందిని', 'ఉమాభరణ', 'నాగచంద్రిక', 'నాగభాషిని']",,0
785,mala kosh,మాలకోష్,"['n2', 's', 'g2', 'm1', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'g2', 's']",N2|S|G2|M1|D1|N2|S',S'|N2|D1|M1|G2|S,ఔడవ,,8,హనుమతోడి,,[],"['హిందోళవసంత', 'యజ్హ్వల్లోన్', 'విదశోక', 'వరాంగి', 'ఉదయారవి']",,1
790,mechakalyani,మేచకళ్యాణి,"['s', 'r2', 'g3', 'm2', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm2', 'g3', 'r2', 's']",S|R2|G3|M2|P|D2|N3|S',S'|N3|D2|P|M2|G3|R2|S,సంపూర్ణ,65,,,రుద్ర,[],"['ధీరశంకరాభరణం', 'సారంగ', 'షహానా', 'ఫలమంజరి', ' శుద్ధవసంత']",,0
801,vali thodi,వలితోడి,"['s', 'r1', 'g2', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'd1', 'p', 'g2', 'r1', 's']",S|R1|G2|M1|P|D1|N2|S',S'|D1|P|G2|R1|S,సంపూర్ణ-ఔడవ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",,0
805,jhalavarali,ఝాలవరాళి,"['s', 'r1', 'g1', 'm2', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm2', 'g1', 'r1', 's']",S|R1|G1|M2|P|D1|N3|S',S'|N3|D1|P|M2|G1|R1|S,సంపూర్ణ,39,,,ఋషి,['దాళివరాలి'],"['పావని', 'యద్దేవిక', 'వీరవాహినీ', 'విరలీల', 'విరజంతకా']",,0
806,malarone,మలరోన్,"['s', 'g2', 'm1', 'p', 'd1', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|G2|M1|P|D1|S',S'|N2|D1|P|M1|G2|R1|S,ఔడవ-సంపూర్ణ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",,0
817,ravana priya,రావణప్రియ,"['s', 'r1', 'g2', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|D1|N2|S',S'|D1|P|M1|G2|S,సంపూర్ణ-ఔడవ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",,0
821,vachaspathi,వాచస్పతి,"['s', 'r2', 'g3', 'm2', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm2', 'g3', 'r2', 's']",S|R2|G3|M2|P|D2|N2|S',S'|N2|D2|P|M2|G3|R2|S,సంపూర్ణ,64,,,రుద్ర,[],"['ఉమాభరణ', 'ప్రతాపము', 'యువరాత్నికం', 'యువరత్న', 'యోగనంది']",,0
822,oshadhi,ఓషధి,"['s', 'r1', 'g1', 'm1', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'd2', 'm1', 'g1', 'r1', 's']",S|R1|G1|M1|D2|N2|S',S'|N2|D2|M1|G1|R1|S,షాడవ-సంపూర్ణ,,4,వనస్పతి,,[],"['ఫేనాద్యుతి', 'కుంజరి', ' యోగవతీ', 'యోగబోధిని', 'యోగబోధన']",,0
842,bhaskaran,భాస్కరన్,"['s', 'r1', 'g2', 'p', 'n2', 's.']","['s.', 'n2', 'p', 'g2', 'r1', 's']",S|R1|G2|P|N2|S',S'|N2|P|G2|R1|S,ఔడవ,,8,హనుమతోడి,,[],"['భూపాల', 'శ్యామలి', 'రాతిపతిప్రియ', 'వేదిక', 'వస్యప్రియ']",,0
847,maruvakannada,మారువకన్నడ,"['s', 'r3', 'g3', 'm1', 'p', 'd1', 'p', 'n1', 's.']","['s.', 'n1', 'p', 'm1', 'r3', 's']",S|R3|G3|M1|P|D1|P|N1|S',S'|N1|P|M1|R3|S,సంపూర్ణ-ఔడవ,,31,యాగప్రియ,,[],"['మారరంజని', 'కల్గడ', 'మాలావశ్రీ', 'విష్ణుప్రియ', 'కలకాంతి']",,1
855,tandavollasini,తాండవోల్లాసిని,"['s', 'r3', 'g3', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'g3', 'r3', 's']",S|R3|G3|P|D2|N3|S',S'|N3|D2|P|G3|R3|S,షాడవ,,35,శూలిని,,[],"['నాగచంద్రిక', 'కోకిలం', 'అమృతబేహాగ్', 'యోగసురభి', 'యోగసౌరభం']",,0
858,purvasindhu,పుర్వసింధు,"['s', 'r1', 'g1', 'm1', 'p', 's', 'n3', 's.']","['s.', 'd2', 'p', 'm1', 'd2', 'm1', 'g1', 'r1', 's']",S|R1|G1|M1|P|S|N3|S',S'|D2|P|M1|D2|M1|G1|R1|S,షాడవ,,5,మానవతి,,[],"['కోకిలప్రియ', 'పావని', 'యద్దేవిక', 'వ్యాజకురింజి', 'విరవిక్రమ']",Raga pravaha by Dhandapani MN & D pattammal,2
872,tanarupi,తానరూపి,"['s', 'r1', 'g1', 'm1', 'p', 'd3', 'n3', 's.']","['s.', 'n3', 'd3', 'p', 'm1', 'g1', 'r1', 's']",S|R1|G1|M1|P|D3|N3|S',S'|N3|D3|P|M1|G1|R1|S,సంపూర్ణ,6,,,ఇందు,[],"['మనోరంజనీ', 'కుంజరి', 'త్రియంబకప్రియ', 'సురతిమల్లార్', 'సుందరాసీతప్రియ']",Raga pravaha by Dhandapani MN & D pattammal,0
875,jalarnavam,జలార్ణవం,"['s', 'r1', 'g1', 'm2', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm2', 'g1', 'r1', 's']",S|R1|G1|M2|P|D1|N2|S',S'|N2|D1|P|M2|G1|R1|S,సంపూర్ణ,38,,,ఋషి,[],"['వరాలి', 'నలత్తం', 'నమై', 'గోదారి', 'ఝాలవరాళి']",Raga pravaha by Dhandapani MN & D pattammal,0
912,kamsari,కంసారి,"['s', 'g2', 'r1', 'g2', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 'r1', 's']",S|G2|R1|G2|M1|P|N2|S',S'|N2|D1|P|M1|G2|R1|S,షాడవ-సంపూర్ణ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",,1
930,chitrambari,చిత్రాంబరి,"['s', 'r2', 'g3', 'm2', 'p', 'd3', 'n3', 's.']","['s.', 'n3', 'd3', 'p', 'm2', 'g3', 'r2', 's']",S|R2|G3|M2|P|D3|N3|S',S'|N3|D3|P|M2|G3|R2|S,సంపూర్ణ,66,,,రుద్ర,[],"['నాగానందిని', 'వంశావతి', 'నాగభాషిని', 'రసమంజరి', 'యోగజ్యోతి']",,0
932,shyamalangi,శ్యామలాంగి,"['s', 'r2', 'g2', 'm2', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'p', 'm2', 'g2', 'r2', 's']",S|R2|G2|M2|P|D1|N1|S',S'|N1|D1|P|M2|G2|R2|S,సంపూర్ణ,55,,,దిశి,['శ్యామలం'],"['కాంతామణి', 'యౌతకం', 'వీసాకిని', 'విజయసరస్వతి', 'విజయామాళవి']",,0
934,geetha priya,గీతప్రియ,"['s', 'r2', 'g3', 'm2', 'p', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm2', 'g3', 'r2', 's']",S|R2|G3|M2|P|D1|N3|S',S'|N3|D1|P|M2|G3|R2|S,సంపూర్ణ,,63,లతాంగి,,[],"['కాంతామణి', 'ధాతువర్ధని', ' చిత్రాంబరి', 'యోగజ్యోతి', 'యౌతకం']",,0
951,dhavalakesari,ధవళకేసరి,"['s', 'r1', 'g2', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'p', 'm1', 'g2', 's']",S|R1|G2|M1|P|D1|N2|S',S'|N2|P|M1|G2|S,సంపూర్ణ-ఔడవ,,8,హనుమతోడి,,[],"['ఆనంద', ' అసావేరి', 'అభేరి', 'హిందోళవసంత', 'భూపాల']",,0
